Year,Round,Event,Driver,LapNumber,LapTime,GapToWinner,TyreLife,Stint,StintLap,TireDegradation,Compound_SOFT,Compound_MEDIUM,Compound_HARD,TrackTemp
2024,1,Bahrain Grand Prix,NOR,53.0,95.782,43.673,20.0,3.0,20.0,-0.14000000000000057,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,54.0,95.934,43.855,21.0,3.0,21.0,0.15200000000000102,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,55.0,96.223,44.455,22.0,3.0,22.0,0.2890000000000015,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,56.0,95.976,45.494,23.0,3.0,23.0,-0.2469999999999999,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,57.0,96.582,46.799,24.0,3.0,24.0,0.6059999999999945,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,1.0,100.053,0.0,4.0,1.0,1.0,0.0,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,2.0,96.541,2.769,5.0,1.0,2.0,-3.5120000000000005,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,3.0,97.297,3.014,6.0,1.0,3.0,0.7560000000000002,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,4.0,97.722,3.558,7.0,1.0,4.0,0.42499999999999716,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,5.0,98.044,4.633,8.0,1.0,5.0,0.32200000000000273,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,6.0,97.823,5.504,9.0,1.0,6.0,-0.22100000000000364,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,7.0,97.821,6.235,10.0,1.0,7.0,-0.001999999999995339,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,8.0,97.838,7.018,11.0,1.0,8.0,0.016999999999995907,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,9.0,97.596,7.832,12.0,1.0,9.0,-0.24199999999999022,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,10.0,97.63,8.199,13.0,1.0,10.0,0.033999999999991815,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,11.0,97.836,8.869,14.0,1.0,11.0,0.20600000000000307,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,12.0,100.277,9.62,15.0,1.0,12.0,2.4410000000000025,True,False,False,30.0
2024,1,Bahrain Grand Prix,PER,13.0,117.624,12.852,1.0,2.0,1.0,0.0,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,14.0,95.606,33.446,2.0,2.0,2.0,-22.018,False,False,True,30.0
2024,1,Bahrain Grand Prix,PER,15.0,96.815,32.024,3.0,2.0,3.0,1.2090000000000032,False,False,True,30.0
